Question Title,Description,Accepted Answer
Cost effective way to connect microcontroller to internet (not wifi),"All I want to do is connect a microcontroller to the internet and send something to my server whenever the micro controller has moved. I don't want to connect to wifi but rather 3g or something of that nature. I am a software engineer not a hardware engineer so as long as it connects to the internet i can do the rest.Anybody know how I could do this? Consider using SIGFOX instead. It has good coverage in the US, and increasing coverage in the UK, and presents a low-cost alternative to communications using GSM. LoRa is another alternative.Both of these technologies are gaining traction as the IoT grows and satisfy different use cases.GSM/GPRS would allow you to connect to the internet at the cheapest cost of data bundles provided by your local subscriber, however, you could have a GSM fall back for SMS incase of poor connectivity or just create SMS to server pipeline instead of data.","Consider using SIGFOX instead. It has good coverage in the US, and increasing coverage in the UK, and presents a low-cost alternative to communications using GSM. LoRa is another alternative.Both of these technologies are gaining traction as the IoT grows and satisfy different use cases.GSM/GPRS would allow you to connect to the internet at the cheapest cost of data bundles provided by your local subscriber, however, you could have a GSM fall back for SMS incase of poor connectivity or just create SMS to server pipeline instead of data."
IBM IoT Foundation: When to use MQTT and when to use REST for event submission?,"The IBM IoT Foundation allows devices to submit events to the IBM cloud for consumption and recording.  There appears to be two primary mechanisms to achieve the transmission of events ... MQTT and REST (HTTP POST requests).  Assuming that a project will have sensors with direct TCP connectivity to IBM cloud over the Internet, what might we consider as the potential distinctions between the two technologies?  What factors would case us to choose MQTT or REST as the technology to use?  Are there any substantial performance differences at the final mile at the IBM end that would say that one technology is preferred over another?MQTT is designed to be a fast and lightweight messaging protocol, and is as a result, faster and more efficient at this than HTTP when used to do the equivalent.  More efficient not only means less traffic data and more speed, but sometimes it can mean less electrical power as well.  MQTT is particularly good where bandwidth is a concern.MQTT does, however, need a client implementation (like Paho) which is possibly a rarer thing than an HTTP client implementation, which would be more ubiquitous and therefore more likely/easily available on any given device.  There are also TCP/IP port considerations, where some network hardware may require HTTP ports 80 or 443 (although IoTF supports MQTT and MQTTWS on port 443).There may also be an ideological or philosophical reason for choosing HTTP instead of MQTT (or COAP for that matter), but usually, I would say the reasons for choosing HTTP instead of MQTT would be network related or client support related.There is no official paper on the performance differences yet, but safe to say MQTT will be more efficient and faster given just about any messaging scenario (long lived connections or adhoc etc.)I would summarize the considerations as:","MQTT is designed to be a fast and lightweight messaging protocol, and is as a result, faster and more efficient at this than HTTP when used to do the equivalent.  More efficient not only means less traffic data and more speed, but sometimes it can mean less electrical power as well.  MQTT is particularly good where bandwidth is a concern.MQTT does, however, need a client implementation (like Paho) which is possibly a rarer thing than an HTTP client implementation, which would be more ubiquitous and therefore more likely/easily available on any given device.  There are also TCP/IP port considerations, where some network hardware may require HTTP ports 80 or 443 (although IoTF supports MQTT and MQTTWS on port 443).There may also be an ideological or philosophical reason for choosing HTTP instead of MQTT (or COAP for that matter), but usually, I would say the reasons for choosing HTTP instead of MQTT would be network related or client support related.There is no official paper on the performance differences yet, but safe to say MQTT will be more efficient and faster given just about any messaging scenario (long lived connections or adhoc etc.)I would summarize the considerations as:"
ESPlorer can't communicate with ESP8266,"I flashed the NodeMCU v0.9.5 to one of my ESP8266 modules. Now I'm trying to send a Lua script to my module using ESPlorer. I already double-checked the wiring.When I press the ""Send to ESP"" button, it shows an error:How can I fix this?Edit:
After I flashed NodeMCU 1.4 (master) I get a startup message.When I try to upload a Lua script I get these error messages.After flashing a new firmeware without debuging mode, I can upload scripts. I'm trying to build this project:

But there are no data on Thingspeak. The outputs on the serial line seem to be fine.
I think, everything should be okay?The first hit on Google for that ESPlorer timeout message is your friend: I think currently your best bet is to build a firmware with ""debug = false"", ideally from the  branch.Simply clicking on ""FS Info"" after getting the timeout error worked for me.","The first hit on Google for that ESPlorer timeout message is your friend: I think currently your best bet is to build a firmware with ""debug = false"", ideally from the  branch.Simply clicking on ""FS Info"" after getting the timeout error worked for me."
How to check whether a certain field is present in AWS IoT message or not?,"I have two IoT rules in which one rule stores valid data to a table in DynamoDB, and other rule which stores invalid data to another table in DynamoDB. This works fine as long as all fields are present. But if any field is not present IoT throws: For example here is expected message: SQL rule for Valid Data:SQL rule for Invalid Data:If any field is missing as shown below, above rule won't work.What is the way to detect whether a certain field is present or not?You can use the IsUndefined() function to do that.
For example you can do something like that in the WHERE statement:With this statement the rule will no trigger if one of the 3 fields is missing.","You can use the IsUndefined() function to do that.
For example you can do something like that in the WHERE statement:With this statement the rule will no trigger if one of the 3 fields is missing."
Beaglebone Black or raspberry PI?,"I had a question about the Beaglebone Black. why texas instruments  suggest using Beaglebone Black instead of Raspberry PI 3 which has Bluetooth and Wi-Fi chip inside and it is cheaper and more powerful. Is there any special reason ?Mostly the extra GPIO pins. But also the embedded PRUs. The beaglebone black has 2 extra RISC processors onboard that are great for PID loops if you want to get experience with TI's assembly programming.All the features mentioned in the above answers are true, but most important point of using BBB is hardware flexibility and robustness. BBB has external emmc, and has a SD card slot so you can easily use the slot for other purposes, also the OS gets stored on the emmc which has high speed 8-bit parallel interface with the processor. Rpi has it OS on sd card, which if removed is of no use.So i consider BBB as a miniature full blown linux system best for use in IoT applications. ","Mostly the extra GPIO pins. But also the embedded PRUs. The beaglebone black has 2 extra RISC processors onboard that are great for PID loops if you want to get experience with TI's assembly programming.All the features mentioned in the above answers are true, but most important point of using BBB is hardware flexibility and robustness. BBB has external emmc, and has a SD card slot so you can easily use the slot for other purposes, also the OS gets stored on the emmc which has high speed 8-bit parallel interface with the processor. Rpi has it OS on sd card, which if removed is of no use.So i consider BBB as a miniature full blown linux system best for use in IoT applications. "
Change record time for IoT DevKit AZ3166 language translator example,"I am following the guide  to make a translator using the MxChip.I was able to follow most of the steps at ease but was wondering  - this is such that it can translate phrases that are a bit longer.Thank you.The DevKitTranslator example is only a proof-of-concept to leverage the Azure IoT Hub, Functions and cognitive translator API to process audio sensor data.  This example records the audio data and store it temporally in the device flash (1M). So due to this memory resource limitation it is hard to record a longer audio.If you really want to expand the record time, it would probably need a re-architecture of this example:If you really want to try this solution architecture above you can refer to or try the  example. This is a more sophisticated example to demonstrate the power of the IoT DevKit to integrate with more Azure AI Services which is transmiting the continuate audio data via WebSocket streaming.","The DevKitTranslator example is only a proof-of-concept to leverage the Azure IoT Hub, Functions and cognitive translator API to process audio sensor data.  This example records the audio data and store it temporally in the device flash (1M). So due to this memory resource limitation it is hard to record a longer audio.If you really want to expand the record time, it would probably need a re-architecture of this example:If you really want to try this solution architecture above you can refer to or try the  example. This is a more sophisticated example to demonstrate the power of the IoT DevKit to integrate with more Azure AI Services which is transmiting the continuate audio data via WebSocket streaming."
Can AWS IoT device shadows work when communicating with device over HTTP(S)?,"The concept of ""Device Shadows"" introduced by AWS IoT is great for situations when devices have intermittent connectivity.However it seems that this requires for the device to subscribe to the messages from the remote ""cloud"" node (AWS IoT). Seems like for MQTT protocol this is an easy task, as it is kinda ""always on"" connection between the device and the remote node and the MQTT is meant for actively pushing messages between the two. However  As it seems that in case of HTTP it would be hard to ""subscribe"" to messages from the remote node...Indeed, HTTP won't allow you to use the publish/subscribe mecanism.But you should use an  to connect your hardware. Every Device SDK use MQTT and it provides an interface to be able to publish and subscribe without worrying about the communication protocol. Maybe you want to use another language than C, JavaScript or Arduino? ","Indeed, HTTP won't allow you to use the publish/subscribe mecanism.But you should use an  to connect your hardware. Every Device SDK use MQTT and it provides an interface to be able to publish and subscribe without worrying about the communication protocol. Maybe you want to use another language than C, JavaScript or Arduino? "
Periodic crash of extremely simple esp8266 sketch,"I'm quite new to esp8266 and even to electronics topic, so don't be surprised with the question.I've uploaded extremely simple script to esp8266-07 from Arduino IDE. It starts (sometimes...) works for multiple loops, then crashes and restarts. Below will be listed connection schema, sketch and serial output. What's wrong?RESET is not connected. After sketch is uploaded I disconnect GPIO0 from GND, turn off and on VCC.Also I don't know what is ""firmware"" and should I additionally upload it somehow.Sketch:And output:Arduino IDE 1.6.5, board manager 2.1.0Same test for Arduino IDE 1.6.8 and 2.3.0 crashes even without setup :(Yeah, @dandavis was right - RESET was the reason. But actually it WAS floating, I pulled it up like it was suggested on the original diagram and it worked) ","Yeah, @dandavis was right - RESET was the reason. But actually it WAS floating, I pulled it up like it was suggested on the original diagram and it worked) "
IBM Watson Subscribe,"I am looking for a way for my ESP8266 Arduino device to subscribe to the IBM Watson IoT platform to receive device management messages (reboot, update etc.). I have located examples that use the PubSubClient library () to do this, however, I have not yet found a working example of PubSubClient using TLS1.2 (a requirement for this project). As such I am currently using the Adafruit_MQTT_Client which can connect and publish to Watson using TLS1.2, but I have not had success subscribing to the platform. If anyone could suggest a way to connect, publish and subscribe to IBM Watson IoT platform using TLS1.2, it would be much appreciated!The Arduino ESP8266 2.3.0 core provided TLS v1.2 support. Simply upgrade to this core using the boards manager in the Arduino IDE.",The Arduino ESP8266 2.3.0 core provided TLS v1.2 support. Simply upgrade to this core using the boards manager in the Arduino IDE.
Android Things Update/Deploy APK at remotely Installed Raspberry Pi 3,"I was exploring and working with Android Things and I made a small project of LED Blinking, Referring to these  I came across the functionality of rolling out the image update by OTA in Channels like Stable/Canary/Beta, which will include the APK too, it seems the whole OS will get updated by this way containing the app in it.Here are my queries depending on the certain situations:Yes, if you want to update the apps, you can create an OTA update including your new APK and release it in one of the channels that you've setup.","Yes, if you want to update the apps, you can create an OTA update including your new APK and release it in one of the channels that you've setup."
Is there a sample for using the REST IoT Foundation API?,"The IBM IoT Foundation technology has an API that is REST based.  The low level docs for the API can be found here:with a higher level article here:Unfortunately, despite having tried a number of experiments, I am unable to get any REST requests working.  Is there a recipe, tutorial or sample available that illustrates the use of the IoT Foundation APIs using REST requests?Here is a screenshot with steps for how to get started using the IBM IoT Foundation REST Api to perform  using the Firefox RESTClient. Does this help to get you started? ",Here is a screenshot with steps for how to get started using the IBM IoT Foundation REST Api to perform  using the Firefox RESTClient. Does this help to get you started? 
Simple way to get data from IoT Hub in C#,"I try use code from MS tutorial  and thisto get data from IoT Hub, but still something was wrong. 
It is possible to get this data in easy way? Using the VS2017 version >=15.3.1 you can create an Azure Functions project for  function without any single line code. The following template code snippet shows this function:}and the local.settings.json file:The following screen snippet shows a console output of the local azure function:
","Using the VS2017 version >=15.3.1 you can create an Azure Functions project for  function without any single line code. The following template code snippet shows this function:}and the local.settings.json file:The following screen snippet shows a console output of the local azure function:
"
My Bluemix IoT Foundation organization is not shown on webpage,"I have a Bluemix account with organization defined, but when I login to IoTF via the webpage  my organization is not shown.  I see a message that says ""You are not a member of any organization"". I am unable to add any devices as a result.  What could be causing this issue?The likely explanation is that you were a temporary member of your IoTF organization and that has subsequently expired.When you create an IoTF service using Bluemix, an IoTF organization is created and your IBM ID is added as a temporary member.  This temporary membership expires after 24 hours and the effect is similar to what you are describing.If you were to access IoTF using the service tile in Bluemix (Launch Dashboard) then you would be logged straight in to your organization.  At this point you will be able to add members (including yourself) to the IoTF organization and then be able to log in directly at The reason for this is that if a Bluemix user created an IoTF service, there is not necessarily the affirmation that that user will forever be authorized to access it.  By making that user a temporary member, it is able to log in directly for 24 hours only until the ID is added as a permanent member, or that user always accesses the IoTF dashboard using the Bluemix service tile.  The intention is that without positive action the user creating the service will still need access in Bluemix, in order to access IoTF.","The likely explanation is that you were a temporary member of your IoTF organization and that has subsequently expired.When you create an IoTF service using Bluemix, an IoTF organization is created and your IBM ID is added as a temporary member.  This temporary membership expires after 24 hours and the effect is similar to what you are describing.If you were to access IoTF using the service tile in Bluemix (Launch Dashboard) then you would be logged straight in to your organization.  At this point you will be able to add members (including yourself) to the IoTF organization and then be able to log in directly at The reason for this is that if a Bluemix user created an IoTF service, there is not necessarily the affirmation that that user will forever be authorized to access it.  By making that user a temporary member, it is able to log in directly for 24 hours only until the ID is added as a permanent member, or that user always accesses the IoTF dashboard using the Bluemix service tile.  The intention is that without positive action the user creating the service will still need access in Bluemix, in order to access IoTF."
Arduino run 2 commands at the same time,"I have connected 3 devices to my Arduino Uno: Servo Motor, LED and a Distance Sensor. Now when the distance is 10cm or smaller then my led is going off. My led is going on when the distance is larger then 10cm this is working fine. But now when I have added my Servo motor I need to wait when my loop is done before my distance sensor is sending the signal to my led. How can I fix this ?This is a common problem.  is a  answer I found in the Adafruit tutorial section.The solution explained in the link, in short, shows you how to use the  function and not the  and why this is much better for multitasking.","This is a common problem.  is a  answer I found in the Adafruit tutorial section.The solution explained in the link, in short, shows you how to use the  function and not the  and why this is much better for multitasking."
Microphone input on W10 IoT Core,How can I enable the microphone input on Windows 10 IoT Core? I can't change it in the Device Portal. Does the mini-jack double as a mic input connector?here is no line-in on the Rpi but if you connect a USB headset you will see the slides in the device portal turn blue and then it will be a recognizable device in your code. Additionally you could use a USB audio interface like it was done in this project: ,here is no line-in on the Rpi but if you connect a USB headset you will see the slides in the device portal turn blue and then it will be a recognizable device in your code. Additionally you could use a USB audio interface like it was done in this project: 
What is the use of callback in MQTT?,"I am trying to implement a weather monitoring system using Arduino and MQTT protocol. While trying to understand the code behind this, I have come across a function:So, my question is, what exactly is this function used for in MQTT? If someone explains to me or links a tutorial that will be useful. Thanks in advance! This function is called by the underlying MQTT library when a new message is received from the broker (for a topic you have subscribed to).It is up to you to fill in the detail of how you want to process the message.",This function is called by the underlying MQTT library when a new message is received from the broker (for a topic you have subscribed to).It is up to you to fill in the detail of how you want to process the message.
How to Design a service that can consume REST endpoints. Need support to add new endpoints at runtime,"I am trying to create a service that consumes data from different cloud providers and it should be able to support adding new providers at runtime.
To be specific, trying to build to something like this : A cloud platform to integrate with various device types. The minimum requirement is able to add new device integration without changing the code. Any pointers on how to achieve this ?The best way from Spring Integration perspective is  and recently fixed mechanism to register REST endpoints at runtime: So, right: this is not possible right now, but it is going to be as a feature in the next  version.","The best way from Spring Integration perspective is  and recently fixed mechanism to register REST endpoints at runtime: So, right: this is not possible right now, but it is going to be as a feature in the next  version."
How can i increase the data rate of ibmiot input node?,I am sending data from my sensortag 2650 to the Node-RED platform through my smartphone. I am sending at the speed of 10 Hz. But the node is spitting out data at 1 Hz. How can I increase the data rate of the Node ibmiot? node does not play any role in setting the frequency of message rate. Thats done by the node which is sending the events to ibmiot node. So you need to change that part of the flow.  , node does not play any role in setting the frequency of message rate. Thats done by the node which is sending the events to ibmiot node. So you need to change that part of the flow.  
Can kafka subscribe on a MQTT topic,"I have a MQTT broker running on a raspberry pi, i can publish and subscribe to  topics. But i would like it if Kafka could subscribe to one or multiple MQTT topics.
Can somebody help me please?yes you can do that. ","yes you can do that. First of all you need to set up Kafka and zookeeper (here is the official apache kafka ) (here is )You need a kafka plugin to act as an MQTT source connector (you can use this one 
)After compiling the source, you need to configure the plugin (indicate the MQTT topic, username, password, MQTT broker IP) (here is an )Restart kafka server and start the Kafka MQTT source connect"
AWS-IoT rule engine is not working,"I am working on simple publish/ subscribe example using node.js SDK, in which I have subscribed to topic 'sensor/alert' and same time periodically publishing topic 'sensor/temp' with payload {""temp"":[no between 0-20]} (ex. {""temp"" : 20}) I have configured rule engine with following rule""SELECT * FROM 'sensor/temp' WHERE temp > 10"" which trigger""AWS IOT republish action"". I have set proper role for this rule from AWS-IOT console. But when client code publish topic with payload {""temp"" : 12} or any number greater than 10 in payload, rule engine should come in action and republish to topic 'sensor/alert' but unfortunately it not. 
 I have checked publish and subscribe logic with AWS MQTT client. In Client code publish and subscribe logic is working properly, but rule engine is not working.
I am using AWS free account.
I am not able to troubleshoot the issue. Any help is appreciated. Thanks in advance.I think it is ""SELECT * FROM 'sensor' WHERE temp > 10"" instead of sensor/tempYou should try to publish this message Now you should subscribe to the topic sensorrepublished for example and you should be able to seed the message where is the target you want to trigger?
if Lambda, you need to add permission in Lambda like thisThanks","I think it is ""SELECT * FROM 'sensor' WHERE temp > 10"" instead of sensor/tempYou should try to publish this message Now you should subscribe to the topic sensorrepublished for example and you should be able to seed the message where is the target you want to trigger?
if Lambda, you need to add permission in Lambda like thisThanks"
"How to get ""Entry"" and ""Exit"" message on geospatial analytics in IBM bluemix","I am working on IBM Bluemix IOT application.I created devices and I am getting maps successfully. I created geospatial analytics service in bluemix also. In maps I am able to create geofence. When car enters geofence it is successfully giving entry message. But when car exits ,its not showing exit message. the above MQttClient.js I am using . Can any one give me suggestions highly appreciated. Thanks in advanceIn addition to Paul's answer... if you haven't done so, make sure to specify: on your call to the addRegion API.The code as shown will display ""Entry"" for all events received including entry and exit events (as well as ""hang out"" events if the monitored region is configured for hangout detection). You should be using  as shown in the commented line of code (line 8) above.","In addition to Paul's answer... if you haven't done so, make sure to specify: on your call to the addRegion API.The code as shown will display ""Entry"" for all events received including entry and exit events (as well as ""hang out"" events if the monitored region is configured for hangout detection). You should be using  as shown in the commented line of code (line 8) above."
How to identify ARM board programmatically,"Is there a way how to programmatically identify which arm board I'm currently running on? Either raspberry pi, cubieboard, or beagleboneblack? These 3 types are enough to differentiate. 
I was hoping to use  but this is not available on ARM ports of debian :-/You can read the  register which will provide implementer, variant, architecutre, partnum, and revision that you might help to distinguish the boards on which you're running your code.You can get that register using Reference: On my board, in /proc/cpuinfo, I've got The interesting part is the  field, which is the name of my board. This field is based on the machine id, from the arch/arm/tools/mach-type linux file. Nevertheless, this approach may be outdated now, as we now use device trees instead of board support packages. You may have to look for Device Tree documentation to get the information you need.I write in Python.
I look at /proc/cpuinfo and parse out the Hardware field.
BCM2708 is a Pi1 (A, B, A+,B+)
BCM2709 is a Pi2 (B+)
BCM2835 is a Pi3  For Beaglebone you can:  If any of these are true, you have a Beaglebone Black.If it's not RPi and not Beaglebone then perhaps it is the other.This was gleaned from work done by Tony DiCola at Adafruit but I don't recall from what project I found it in.","You can read the  register which will provide implementer, variant, architecutre, partnum, and revision that you might help to distinguish the boards on which you're running your code.You can get that register using Reference: On my board, in /proc/cpuinfo, I've got The interesting part is the  field, which is the name of my board. This field is based on the machine id, from the arch/arm/tools/mach-type linux file. Nevertheless, this approach may be outdated now, as we now use device trees instead of board support packages. You may have to look for Device Tree documentation to get the information you need.I write in Python.
I look at /proc/cpuinfo and parse out the Hardware field.
BCM2708 is a Pi1 (A, B, A+,B+)
BCM2709 is a Pi2 (B+)
BCM2835 is a Pi3  For Beaglebone you can:  If any of these are true, you have a Beaglebone Black.If it's not RPi and not Beaglebone then perhaps it is the other.This was gleaned from work done by Tony DiCola at Adafruit but I don't recall from what project I found it in."
Windows IoT Remote Client tool not connecting,I want to use the Windows IoT Remote Client tool to connect to my Raspberry Pi 2 but I'm not able to connect.Make sure you are running a build that actually supports this feature. You can easily check this by looking in the Device Portal. If the last menu tab is called 'Remote' you have a build that support this feature.You also need to enable this feature using the same menu tab.,Make sure you are running a build that actually supports this feature. You can easily check this by looking in the Device Portal. If the last menu tab is called 'Remote' you have a build that support this feature.You also need to enable this feature using the same menu tab.
How to stream data that is generated by an IoT gateway application to predix cloud?,"I've devices configured with IoT gateway application(built with MEAN.JS), these devices send data to IoT gateway where i can access data now i wish to do some analytics on same data how can i send this data to  so that i can use predix services for analyticsWe can achieve this requirement using  NPM package
all you've to do is-1.create a predix account, predix-uaa service, predix-time-series service and attach uaa-service & time-series service 2.Make note of Uaa Url, client_id, client_secret and predix time-series ingest zone idpass Uaa Url, client_id, client_secret and predix time-series ingest zone id to predix-uaa-client package it responses with token.access_token.
Use token.access_token as a Bearer token Authroization header in calls to secured services.
once it securely calls service create websocket connection and start sending data to predix-time-series service sample code to achieve itFirst you need to sign up for a free Predix account on predix.io.  Subscribe to the (free version) of the UAA service, and Time Series database service.  Create a UAA Client with permissions to access your Time Series instance.  Then you can use a websocket to securely push data into the cloud.  You can learn more by using the Predix Toolkit:  
(Source code for the toolkit is here: )Lots of helpful tutorials are here:
","We can achieve this requirement using  NPM package
all you've to do is-1.create a predix account, predix-uaa service, predix-time-series service and attach uaa-service & time-series service 2.Make note of Uaa Url, client_id, client_secret and predix time-series ingest zone idpass Uaa Url, client_id, client_secret and predix time-series ingest zone id to predix-uaa-client package it responses with token.access_token.
Use token.access_token as a Bearer token Authroization header in calls to secured services.
once it securely calls service create websocket connection and start sending data to predix-time-series service sample code to achieve itFirst you need to sign up for a free Predix account on predix.io.  Subscribe to the (free version) of the UAA service, and Time Series database service.  Create a UAA Client with permissions to access your Time Series instance.  Then you can use a websocket to securely push data into the cloud.  You can learn more by using the Predix Toolkit:  
(Source code for the toolkit is here: )Lots of helpful tutorials are here:
"
Can I use Node-Red to display one dashboard group per sensor?,"I'm playing around With Node-Red (I'm still in the newbie stages)I have around 20 ESP8266 modules taking temperature and humidity in various locations in and around my home.The way I am doing it right now, is to put a webserver on each of my ESPs and have node-red poll them every 5 Seconds. This is ugly in all respects, as repeating this 20 times hurts the eyes. I've set up two of them already, and it looks bad:
My question is:Is there a way I can give node-red a list of the Devices (well, their IP addresses) and have node-red create my desired Dashboard for all of them? Looks like I would need a ""for-each"" module, as well as something to automatically create a group in the Dashboard for grouping the various gauges/Charts to each sensor.Not a lot of code to share so far, but I did create a gist for you to see, if you're interested in the webserver part for ESP8266:In advance, thanks for your tips and suggestionsNo, at the moment you need to define each widget on the dashboard explicitly.The closest you could do is use the template node and pass in an array of values that can be rendered in a loop, but that will not work for the Chart node or Text nodes.","No, at the moment you need to define each widget on the dashboard explicitly.The closest you could do is use the template node and pass in an array of values that can be rendered in a loop, but that will not work for the Chart node or Text nodes."
does raspberry pi 2 support thingsboard IOT platform?,"I want to know whether Raspberry Pi 2 support ThingsBoard platform? Can I just follow the steps of installing ThingsBoard for RPi3 and will it work for RPi2 also?It looks like it is supported. based on this link:  :Also, support is mainly related to what protocols are available and supported by the platform: We are currently running ThingsBoard gateway in a Raspberry Pi 2 model B, so I can confirm it is fully supported. Installed following the official guide , with Raspbian Stretch Headless as operating system.","It looks like it is supported. based on this link:  :Also, support is mainly related to what protocols are available and supported by the platform: We are currently running ThingsBoard gateway in a Raspberry Pi 2 model B, so I can confirm it is fully supported. Installed following the official guide , with Raspbian Stretch Headless as operating system."
"Node.js for IoT monitoring, optimization and system simulation","I am currently working on a project of real time monitoring, control and optimisation of a system (SCADA), in an Internet of Things context. 
The acquisition of the data and the control of the assets will be done through REST api and notifications from an IoT platform (Cumulocity or Predix, not sure yet), itself collecting measures from the sensors and sending operations to the equipment.The server application will then control the state of the system, set alarms, and make optimised decisions (plannings  for the equipment for instance). In order to test the behaviour of the system, the response to a decision and finding a good optimisation solution, I plan to also make a simulation of the system (maybe even a simulation of the real-time measures). Finally, an HMI in Angular JS will be provided to the user for him to enter the user input data, follow the current state of the system/alarms and its history, and be notified of the decisions made.I am not sure of the computation needed, but the  will probably be quite heavy, and the  solution may be a bit heavy too.A company would usually implement such an application in C, and it could also be done in Python ( is also needed), but I was thinking of doing it with Node.js. 
I found a JS library for discrete event simulation, , but I don't know if this could handle a complex system simulation.In short, do you see any reason why not use Node.js for that ? 
Does something alike has already been done, in IoT monitoring for instance ?Thanks a lot for your help,LayvierYes, Node.js is a great fast framework for SCADA.Yes!a) Commercially, node.js is used in  - fully fledged SCADA system!b) You may also want to check source code for SCADA/HMI node module for node.js on GitHub:  c) Or sample HMI SCADA project  -  multi-platform support from Raspberry Pi!Your question is a bit , but I'll try to be helpful.  I think you are asking a few things:Ultimately you will need to decide what is important for your project.For the  question, there are many examples of node.js use in production systems.  How well it performs can be controversial and use case specific, so I'll just refer you to related questions:
For the  question, some things you may look for in a framework like sim.js includea) how much active development is being doneYou can look for the last commit date in the source code (5 years ago):
b) how much support does the community provideYou can look for discussion in the community (5 topics over the years):
c) does the license work for your applicationThe license is LGPL according to  which may or may not work for you:
Depending on the platform you decide to use, there may be alternative simulated data sources you can use or adapt to your needs.  For example,  but there are probably many others.Hope that helps a bit.","Yes, Node.js is a great fast framework for SCADA.Does something alike has already been done, in IoT monitoring for instance ?Yes!a) Commercially, node.js is used in  - fully fledged SCADA system!b) You may also want to check source code for SCADA/HMI node module for node.js on GitHub:  c) Or sample HMI SCADA project  -  multi-platform support from Raspberry Pi!Your question is a bit , but I'll try to be helpful.  I think you are asking a few things:Ultimately you will need to decide what is important for your project.For the  question, there are many examples of node.js use in production systems.  How well it performs can be controversial and use case specific, so I'll just refer you to related questions:
For the  question, some things you may look for in a framework like sim.js includea) how much active development is being doneYou can look for the last commit date in the source code (5 years ago):
b) how much support does the community provideYou can look for discussion in the community (5 topics over the years):
c) does the license work for your applicationThe license is LGPL according to  which may or may not work for you:
Depending on the platform you decide to use, there may be alternative simulated data sources you can use or adapt to your needs.  For example,  but there are probably many others.Hope that helps a bit."
Thingspeak data visualisation/ graphs for webpage,"i want to make graphs/ charts from my data, that is stored on Thingspeak (its a weather station project using arduino). Now, i want to be able to plot these data into graphs. Thingspeak itself does that, but the graph is non customizable.What i want do do is to have some buttons and comboboxes to select for example certain time interval (days,weeks,months), be able to point on line in graph and it tels the stats for the one spot etc.Is there any templates or web services that do that? Or tutorials on how to do that? I want to have these charts embedde to my webpages. Thank you for replies.I suggest you look at Chart JS or D3, both good charting libraries.","I suggest you look at Chart JS or D3, both good charting libraries."
Windows IoT on RPI Unique Identifier,"I am currently searching for a solution to get 2 unique strings on the RPI with Windows IoT. The strings should not change after reboot. It should be something like an Hardware ID to identify a device.You could get the MAC address of your nework card, which should Uniquely identify it every single time. ","You could get the MAC address of your nework card, which should Uniquely identify it every single time. "
How to connect IBM Watson IOT using Paho MQTT javascript client?,"I am trying to connect IBM Watson IoT platform using Paho MQTT Javascript client as mentioned in the below example code.But not able to connect.
I am getting this error:
Please anybody out there who tried connecting IBM Watson IoT using Paho Mqtt client.Thank you all for your responses. Based on all responses I have made changes in my code.You can see that I have made changes in ClientId. IBM Watson Iot will accept only the client ids in the below format .var clientId =  Client Id can be anything. Even I implemented in node.js",Thank you all for your responses. Based on all responses I have made changes in my code.You can see that I have made changes in ClientId. IBM Watson Iot will accept only the client ids in the below format .var clientId =  Client Id can be anything. Even I implemented in node.js
Increase number of topic in Kafka leads zookeeper fail,"We plan to use kafka as a message broker for IoT use case, where each device is considered as unique topic. when I simulated 10 message per second to 10 thousand topics zookeeper is getting bottle neck,all Kafka monitoring tools fails to read the throughput values and number of topics from JMX port because of that. will tuning zookeeper will solve the issues. where In IoT use case there will be millions of device polling data to millions of topics. I want to make sure the approach is perfect to go. Please suggest.There is another solution available now - try out Apache Pulsar.
It looks promising about the number of topics and generally quite similar to Kafka and it is now compatible with Kafka.
Your right in saying that even though theoretically you could have millions of topics in Kakfa, the number of topics in Kafka is , You cannot have million of topics. Creating topics/partitions per device is not scalable solution. Is there a reason why you need millions of topics ?","There is another solution available now - try out Apache Pulsar.
It looks promising about the number of topics and generally quite similar to Kafka and it is now compatible with Kafka.
Your right in saying that even though theoretically you could have millions of topics in Kakfa, the number of topics in Kafka is , You cannot have million of topics. Creating topics/partitions per device is not scalable solution. Is there a reason why you need millions of topics ?"
Proper way of adding resources dynamically to CoAP server,"I created a method which can be used for adding dynamically URLs into CoAP server.This is the current approach I have implemented. But needs to know is this the proper way of adding resources into the CoAP server? Let's say  is the one which needs to be added. Here CoAPResourcePath and CoAPResourceServlet classes are extended from CoapResource.This is the output after adding resources in this way.
I've ended up with the similar approach. Currently Californium does not have any options for creating nested resources in a handy way.",I've ended up with the similar approach. Currently Californium does not have any options for creating nested resources in a handy way.
