Question Title,Description,Accepted Answer,Label
How can i increase the data rate of ibmiot input node?,I am sending data from my sensortag 2650 to the Node-RED platform through my smartphone. I am sending at the speed of 10 Hz. But the node is spitting out data at 1 Hz. How can I increase the data rate of the Node ibmiot? node does not play any role in setting the frequency of message rate. Thats done by the node which is sending the events to ibmiot node. So you need to change that part of the flow.  , node does not play any role in setting the frequency of message rate. Thats done by the node which is sending the events to ibmiot node. So you need to change that part of the flow.  ,1
Can kafka subscribe on a MQTT topic,"I have a MQTT broker running on a raspberry pi, i can publish and subscribe to  topics. But i would like it if Kafka could subscribe to one or multiple MQTT topics.
Can somebody help me please?yes you can do that. ","yes you can do that. First of all you need to set up Kafka and zookeeper (here is the official apache kafka ) (here is )You need a kafka plugin to act as an MQTT source connector (you can use this one 
)After compiling the source, you need to configure the plugin (indicate the MQTT topic, username, password, MQTT broker IP) (here is an )Restart kafka server and start the Kafka MQTT source connect",1
AWS-IoT rule engine is not working,"I am working on simple publish/ subscribe example using node.js SDK, in which I have subscribed to topic 'sensor/alert' and same time periodically publishing topic 'sensor/temp' with payload {""temp"":[no between 0-20]} (ex. {""temp"" : 20}) I have configured rule engine with following rule""SELECT * FROM 'sensor/temp' WHERE temp > 10"" which trigger""AWS IOT republish action"". I have set proper role for this rule from AWS-IOT console. But when client code publish topic with payload {""temp"" : 12} or any number greater than 10 in payload, rule engine should come in action and republish to topic 'sensor/alert' but unfortunately it not. 
 I have checked publish and subscribe logic with AWS MQTT client. In Client code publish and subscribe logic is working properly, but rule engine is not working.
I am using AWS free account.
I am not able to troubleshoot the issue. Any help is appreciated. Thanks in advance.I think it is ""SELECT * FROM 'sensor' WHERE temp > 10"" instead of sensor/tempYou should try to publish this message Now you should subscribe to the topic sensorrepublished for example and you should be able to seed the message where is the target you want to trigger?
if Lambda, you need to add permission in Lambda like thisThanks","I think it is ""SELECT * FROM 'sensor' WHERE temp > 10"" instead of sensor/tempYou should try to publish this message Now you should subscribe to the topic sensorrepublished for example and you should be able to seed the message where is the target you want to trigger?
if Lambda, you need to add permission in Lambda like thisThanks",1
Can I use Node-Red to display one dashboard group per sensor?,"I'm playing around With Node-Red (I'm still in the newbie stages)I have around 20 ESP8266 modules taking temperature and humidity in various locations in and around my home.The way I am doing it right now, is to put a webserver on each of my ESPs and have node-red poll them every 5 Seconds. This is ugly in all respects, as repeating this 20 times hurts the eyes. I've set up two of them already, and it looks bad:
My question is:Is there a way I can give node-red a list of the Devices (well, their IP addresses) and have node-red create my desired Dashboard for all of them? Looks like I would need a ""for-each"" module, as well as something to automatically create a group in the Dashboard for grouping the various gauges/Charts to each sensor.Not a lot of code to share so far, but I did create a gist for you to see, if you're interested in the webserver part for ESP8266:In advance, thanks for your tips and suggestionsNo, at the moment you need to define each widget on the dashboard explicitly.The closest you could do is use the template node and pass in an array of values that can be rendered in a loop, but that will not work for the Chart node or Text nodes.","No, at the moment you need to define each widget on the dashboard explicitly.The closest you could do is use the template node and pass in an array of values that can be rendered in a loop, but that will not work for the Chart node or Text nodes.",1
does raspberry pi 2 support thingsboard IOT platform?,"I want to know whether Raspberry Pi 2 support ThingsBoard platform? Can I just follow the steps of installing ThingsBoard for RPi3 and will it work for RPi2 also?It looks like it is supported. based on this link:  :Also, support is mainly related to what protocols are available and supported by the platform: We are currently running ThingsBoard gateway in a Raspberry Pi 2 model B, so I can confirm it is fully supported. Installed following the official guide , with Raspbian Stretch Headless as operating system.","It looks like it is supported. based on this link:  :Also, support is mainly related to what protocols are available and supported by the platform: We are currently running ThingsBoard gateway in a Raspberry Pi 2 model B, so I can confirm it is fully supported. Installed following the official guide , with Raspbian Stretch Headless as operating system.",1
"Node.js for IoT monitoring, optimization and system simulation","I am currently working on a project of real time monitoring, control and optimisation of a system (SCADA), in an Internet of Things context. 
The acquisition of the data and the control of the assets will be done through REST api and notifications from an IoT platform (Cumulocity or Predix, not sure yet), itself collecting measures from the sensors and sending operations to the equipment.The server application will then control the state of the system, set alarms, and make optimised decisions (plannings  for the equipment for instance). In order to test the behaviour of the system, the response to a decision and finding a good optimisation solution, I plan to also make a simulation of the system (maybe even a simulation of the real-time measures). Finally, an HMI in Angular JS will be provided to the user for him to enter the user input data, follow the current state of the system/alarms and its history, and be notified of the decisions made.I am not sure of the computation needed, but the  will probably be quite heavy, and the  solution may be a bit heavy too.A company would usually implement such an application in C, and it could also be done in Python ( is also needed), but I was thinking of doing it with Node.js. 
I found a JS library for discrete event simulation, , but I don't know if this could handle a complex system simulation.In short, do you see any reason why not use Node.js for that ? 
Does something alike has already been done, in IoT monitoring for instance ?Thanks a lot for your help,LayvierYes, Node.js is a great fast framework for SCADA.Yes!a) Commercially, node.js is used in  - fully fledged SCADA system!b) You may also want to check source code for SCADA/HMI node module for node.js on GitHub:  c) Or sample HMI SCADA project  -  multi-platform support from Raspberry Pi!Your question is a bit , but I'll try to be helpful.  I think you are asking a few things:Ultimately you will need to decide what is important for your project.For the  question, there are many examples of node.js use in production systems.  How well it performs can be controversial and use case specific, so I'll just refer you to related questions:
For the  question, some things you may look for in a framework like sim.js includea) how much active development is being doneYou can look for the last commit date in the source code (5 years ago):
b) how much support does the community provideYou can look for discussion in the community (5 topics over the years):
c) does the license work for your applicationThe license is LGPL according to  which may or may not work for you:
Depending on the platform you decide to use, there may be alternative simulated data sources you can use or adapt to your needs.  For example,  but there are probably many others.Hope that helps a bit.","Yes, Node.js is a great fast framework for SCADA.Does something alike has already been done, in IoT monitoring for instance ?Yes!a) Commercially, node.js is used in  - fully fledged SCADA system!b) You may also want to check source code for SCADA/HMI node module for node.js on GitHub:  c) Or sample HMI SCADA project  -  multi-platform support from Raspberry Pi!Your question is a bit , but I'll try to be helpful.  I think you are asking a few things:Ultimately you will need to decide what is important for your project.For the  question, there are many examples of node.js use in production systems.  How well it performs can be controversial and use case specific, so I'll just refer you to related questions:
For the  question, some things you may look for in a framework like sim.js includea) how much active development is being doneYou can look for the last commit date in the source code (5 years ago):
b) how much support does the community provideYou can look for discussion in the community (5 topics over the years):
c) does the license work for your applicationThe license is LGPL according to  which may or may not work for you:
Depending on the platform you decide to use, there may be alternative simulated data sources you can use or adapt to your needs.  For example,  but there are probably many others.Hope that helps a bit.",1
Windows IoT on RPI Unique Identifier,"I am currently searching for a solution to get 2 unique strings on the RPI with Windows IoT. The strings should not change after reboot. It should be something like an Hardware ID to identify a device.You could get the MAC address of your nework card, which should Uniquely identify it every single time. ","You could get the MAC address of your nework card, which should Uniquely identify it every single time. ",1
How to connect IBM Watson IOT using Paho MQTT javascript client?,"I am trying to connect IBM Watson IoT platform using Paho MQTT Javascript client as mentioned in the below example code.But not able to connect.
I am getting this error:
Please anybody out there who tried connecting IBM Watson IoT using Paho Mqtt client.Thank you all for your responses. Based on all responses I have made changes in my code.You can see that I have made changes in ClientId. IBM Watson Iot will accept only the client ids in the below format .var clientId =  Client Id can be anything. Even I implemented in node.js",Thank you all for your responses. Based on all responses I have made changes in my code.You can see that I have made changes in ClientId. IBM Watson Iot will accept only the client ids in the below format .var clientId =  Client Id can be anything. Even I implemented in node.js,1
Increase number of topic in Kafka leads zookeeper fail,"We plan to use kafka as a message broker for IoT use case, where each device is considered as unique topic. when I simulated 10 message per second to 10 thousand topics zookeeper is getting bottle neck,all Kafka monitoring tools fails to read the throughput values and number of topics from JMX port because of that. will tuning zookeeper will solve the issues. where In IoT use case there will be millions of device polling data to millions of topics. I want to make sure the approach is perfect to go. Please suggest.There is another solution available now - try out Apache Pulsar.
It looks promising about the number of topics and generally quite similar to Kafka and it is now compatible with Kafka.
Your right in saying that even though theoretically you could have millions of topics in Kakfa, the number of topics in Kafka is , You cannot have million of topics. Creating topics/partitions per device is not scalable solution. Is there a reason why you need millions of topics ?","There is another solution available now - try out Apache Pulsar.
It looks promising about the number of topics and generally quite similar to Kafka and it is now compatible with Kafka.
Your right in saying that even though theoretically you could have millions of topics in Kakfa, the number of topics in Kafka is , You cannot have million of topics. Creating topics/partitions per device is not scalable solution. Is there a reason why you need millions of topics ?",1
Android Things on Raspberry pi 3 not connecting using ADB Connect command,"I installed AndroidThings on Raspberry Pi 3. It boots up properly and showing IP address on display. Raspberry Pi 3 is connected to Ethernet.
Next, on my laptop, I updated my Android SDKs to latest version. I am using SDK 25.
Then I tried to connect to Pi 3 by following adb command:adb connect IP address of Raspberry PI 3It gives me error saying unable to connect.I checked with adb devices command and it shows No Devices Attached.I tried with both Windows 10 and Ubuntu and got the same error.
I tried connecting my android phone using adb connect IP address of android phone and it ran perfectly.I am not sure what I am missing with Pi 3. Any help is appreciated.Just for information, my laptop is running on WiFi on same network.The clue given by Proppy was sufficient for me to figure out what is happening. Here was the issue: I was not able to ping anything running on LAN.Following is the solution in my case. I am using D-Link router and there is NO rule of IP filtering. The fix is to disable ""Enable MultiAP Isolation"" option. Go to router setup page (192.168.1.1) --> Setup --> Wireless --> Wireless Basic and un-check the box ""Enable MultiAP Isolation"" and press ""Apply"" button. This fixed the problem immediately and I could ping all devices on the LAN.","The clue given by Proppy was sufficient for me to figure out what is happening. Here was the issue: I was not able to ping anything running on LAN.Following is the solution in my case. I am using D-Link router and there is NO rule of IP filtering. The fix is to disable ""Enable MultiAP Isolation"" option. Go to router setup page (192.168.1.1) --> Setup --> Wireless --> Wireless Basic and un-check the box ""Enable MultiAP Isolation"" and press ""Apply"" button. This fixed the problem immediately and I could ping all devices on the LAN.",1
No event information is returned with the queryEvent REST API in IBM Watson IoT Map Insights,"I referred to the document of IBM Watson IoT Map Insights () and tried to use the queryEvent REST API as follows. But no event information was returned...-Request-type:GET, url: -Return body:  []  <--- No event information was returned.You need to specify the area information (min/max_longitude, min/max_latitude) with the tenant_id to the queryEvents API in order to get the correct result. That is, the area information parameters are mandatory. We will update the document in next release. Thank you.For example:
Request-type: GET
","You need to specify the area information (min/max_longitude, min/max_latitude) with the tenant_id to the queryEvents API in order to get the correct result. That is, the area information parameters are mandatory. We will update the document in next release. Thank you.For example:
Request-type: GET
",1
What is the use of `native-border-router` in Contiki folder?,"Can anyone explain what is native-border-router example in Contiki and how it is useful where to use it, I used and run rpl-border-router example and understood it but I don't know how this will work. Please help and Thanks.Basically they are the same, the difference is that the native border router runs most of the code on the computer side and gets raw farmes from the radio over the serial line it is connected to. At least this is how i understand it.There is a critical difference: ","Basically they are the same, the difference is that the native border router runs most of the code on the computer side and gets raw farmes from the radio over the serial line it is connected to. At least this is how i understand it.There is a critical difference: The border router will receive the prefix through a [SLIP][1] (Serial Line Interface Protocol) connection and it will be communicated to the rest of the nodes in the RPL network.This code connects a 802.15.4 radio over TTY with the full uIPv6 stack of Contiki including 6LoWPAN and 802.15.4 framing / parsing. The native border router also acts as a RPL Root and handles the routing and maintains the RPL network. .",1
Azure : Problems while Creating X-509 certificate,"I am trying to create a X 509 certificate and upload it to Azure Portal. However, after I followed the steps from  link, I am unable to VERIFY the certificate on the Azure Portal. NOTE : Can anyone help me in the following :Look forward to your help. Thanks !This known issue has been fixed now.In addition, you can also use  to work around for certificate verification.After executed successfully,you will get the response from Azure including the , according with this code, generate the verification certificate file.In the end, the certificate will be verified.In addition you can get more introductions about Azure CLI Command from here().","This known issue has been fixed now.In addition, you can also use  to work around for certificate verification.Upload the CA certificate file you have generated to IoT Hub through executing the following command:Generate a verification code for the certificate using . You can view the  from Azure Portal:
After executed successfully,you will get the response from Azure including the , according with this code, generate the verification certificate file.Verifies the certificate by using the following cmdlet. Please note that, int this step you need to reacquire the  because it has been refreshed in last step:In the end, the certificate will be verified.In addition you can get more introductions about Azure CLI Command from here().",1
The CA certificate does not have the basicConstraints extension as true,"I am following this  on creating self-signed certificates.
But after creating my CA, I try to upload it to AWS IOT I get this error:Command:Error:Any help appreciated!I have also used AWS IoT and suffered same error, and I found the solution. The error occurs because  extension in the CA certificate, which means that the certificate is CA so this certificate is able to sign other public keys to generate client certificates, is not set to . Note that a client X's certificate contains X's public key signed by CA's private key. Other clients, for example Y, can verify the X's public key using CA's public key.  I think you had the error when you tried to generate CA certificate. The error message indicates that the CA's certificate is not allowed to sign other client public keys. Below are how I did.I assume that you already generate CA's key, .We need a  config file, say . Note that you can modify the values. Then generate CA's certificate using the config file, .Now we have CA's certificate, .
Then you can follow the instructions in the AWS IoT documentation. 
For example: @mctuna with this (from AWS):Generate a key pair.
openssl genrsa -out rootCA.key 2048Use the private key from the key pair to generate a CA certificate.
openssl req -x509 -new -nodes -key rootCA.key -sha256 -days 1024 -out rootCA.pem","I have also used AWS IoT and suffered same error, and I found the solution. The error occurs because  extension in the CA certificate, which means that the certificate is CA so this certificate is able to sign other public keys to generate client certificates, is not set to . Note that a client X's certificate contains X's public key signed by CA's private key. Other clients, for example Y, can verify the X's public key using CA's public key.  I think you had the error when you tried to generate CA certificate. The error message indicates that the CA's certificate is not allowed to sign other client public keys. Below are how I did.I assume that you already generate CA's key, .We need a  config file, say . Note that you can modify the values. Then generate CA's certificate using the config file, .Now we have CA's certificate, .
Then you can follow the instructions in the AWS IoT documentation. 
For example: @mctuna with this (from AWS):Generate a key pair.
openssl genrsa -out rootCA.key 2048Use the private key from the key pair to generate a CA certificate.
openssl req -x509 -new -nodes -key rootCA.key -sha256 -days 1024 -out rootCA.pem",1
using UART with STM32f746g-DISCO in MicroEj,"I'm trying to use UART serial communication with MicroEj in STM32F7 using java, and I've got exception throw opening the Com Port. Here is the simple code to open a connection:And here is the exception:I think there might be some problems with the  but I couldn't find any examples. anyone can help me?Try with com51.You can find the correct value in launch parameters/Configuration tab/Libraries/ECOM/Comm Connection",Try with com51.You can find the correct value in launch parameters/Configuration tab/Libraries/ECOM/Comm Connection,1
Reset sleep time after every interrupt in python,"Basically I am working on PIR sensor, when intruder is detected it goes to 1 min of sleep time. I want to reset this sleep time when  the intruder is detected during sleep time.
Below is the code:  Here's a solution using thread:Don't have a raspberry pi to hand... could try this, works with keyboard input in ipython. ","Here's a solution using thread:Don't have a raspberry pi to hand... could try this, works with keyboard input in ipython. ",1
AWS IoT - No success with publish on topic attempt,"I am testing the connection and publishing to a thing created in the AWS IoT console. I am using the following code:My policies are described as below:Apparently, the connection is working and I am getting the following output:The problem is I am getting no messages from the publishing process. Am I doing something wrong? Is there something missing?Make sure that the AWS IoT policy associated with your IoT certificate allows publishing on the  topic.Currently your policy only allows you to publish to topic . Update it toor as a quick and dirty way of troubleshooting if this is a policy issue addA policy this liberal is not recommended for production.Also your subscribe policy has the wrong resource, and you need to add a policy statement for  to be able to receive messages, if you were to subscribe to that topic.","Make sure that the AWS IoT policy associated with your IoT certificate allows publishing on the  topic.Currently your policy only allows you to publish to topic . Update it toor as a quick and dirty way of troubleshooting if this is a policy issue addA policy this liberal is not recommended for production.Also your subscribe policy has the wrong resource, and you need to add a policy statement for  to be able to receive messages, if you were to subscribe to that topic.",1
What is the size of CoAP packet?,"I'm new for this technology, can somebody help me to know about some doubt?
(I know there is 4 byte fixed header, but what is the maximum size limit including header, option and payload?)
(It works on UDP for how much time it keeps open the connection, is there any default time or it keeps open every time when we send packet?)
(Main problem with it CoAP is it works on UDP, is there any concept like MQTT QoS? Let's say a sensor publishes some data every one second, if subscriber goes offline, is there any surety in CoAP that subscriber will get all the data when it come online?)
(CoAP supports publish/subscribe architecture, may be it needs connection open all the time, is it possible with CoAP whether it is based on UDP.)
(I have one gateway and 5 sensors, how will these sensors connect to the gateway? Will the gateway find these sensors? Or will sensors find the gateway?)Please help me, I really need answer. I'm all new for these kind of things and suggest me something for implementation point of view.Thanks.","I never used MQTT, in any case CoAP is connectionless, requests and responses are exchanged asynchronously over UDP or DTLS. I suppose that you are looking for the observe functionality: it enables CoAP clients to ""subscribe"" to resources and servers to send updates to subscribed clients over a period of time.There is an  describing CoAP over TCP, but I don't know how it interacts with the observe functionality: usually It follows a , it just happens that the client is considered no longer interested in the resource and is removed by the server from the list of observers.The observe stops when the server thinks that the client is no longer interested in the resource or when the client ask to unsubscribe from the resource.There is a well-known relative URI ""/.well-known/core"". It is defined as a default entry point for requesting the list of links about resources hosted by a server.  for more infos.Look at 5.",1
IOT app development [closed],"I want to build an IoT mobile app(iOS/Android) that will mainly do the following:
user management(login/subscribe new user);add/configure new IoT device; interact with existing devices. Interact with IoT devices is the easiest part for me. What I'm struggling is the first 2 items. For this I was thinking to use a cloud platform like AWS( IOT(azure.microsoft.com) or WATSON IBM(). Reading the docs of them I could not see how to perform the first task or how to register a new device via a mobile app. Any comments are more than welcome.Also I was thinking building a database on a server that will manage the users, and sending/receiving messages from the IoT device/app as this app that I'm trying to build is not so data hungry(reading temperature and interacting with 2 relays)P.S. I know about Blynk.io but the prices/conditions that they are offering is exceeding my budget.You can use AWS IoT with Amazon Cognito Identity. Devices connected to AWS IoT are represented by things in the registry. The registry allows you to keep a record of all of the devices that are connected to your AWS IoT account.The fastest way to start using your AWS IoT Button is to download the mobile app for iOS or Android. The mobile app creates the required AWS IoT resources for you, and adds an event source to your button that uses a Lambda blueprint to invoke a new AWS Lambda function of your choice. Blueprints are preconfigured Lambda functions that allow you to quickly connect the click of a button to the functions that fit you best, such as sending automated emails or text messages or deploying other AWS services. You can download the mobile apps from The Apple App Store or Google Play. Try to use firebase auth and realtime database.This will suffice your need.","You can use AWS IoT with Amazon Cognito Identity. Devices connected to AWS IoT are represented by things in the registry. The registry allows you to keep a record of all of the devices that are connected to your AWS IoT account.The fastest way to start using your AWS IoT Button is to download the mobile app for iOS or Android. The mobile app creates the required AWS IoT resources for you, and adds an event source to your button that uses a Lambda blueprint to invoke a new AWS Lambda function of your choice. Blueprints are preconfigured Lambda functions that allow you to quickly connect the click of a button to the functions that fit you best, such as sending automated emails or text messages or deploying other AWS services. You can download the mobile apps from The Apple App Store or Google Play. Try to use firebase auth and realtime database.This will suffice your need.",1
Electric IMP + PubNub: Agent making extra calls,"I'm working on a IoT project that uses Electric Imp and PubNub for communication, and Parse for data logging, cloud code, etc.For some reason my code in the IMP IDE is making multiple calls to PubNub channel, when I only want the event broadcasted once.Here is the code:What I would like is to just broadcast each connection/event once.... but as you can see by my server.log, I seem to be broadcasting twice with each new 'Build and Run' command.Anyone see where my error is? It's likely a dumb mistake as I'm not fluent with Squirrel.Ignoring the first COMM message (which is strange) the problem does appear to just be the device.onconnect event firing twice. This is a known issue on our end (it only happens after Build and Run.)One way to work around the problem might be to set a short ""debounce"" timer of sorts:","Ignoring the first COMM message (which is strange) the problem does appear to just be the device.onconnect event firing twice. This is a known issue on our end (it only happens after Build and Run.)One way to work around the problem might be to set a short ""debounce"" timer of sorts:",1
Windows for IoT Intel Galileo fails to image - Error Status -1,I tried to install Windows for IoT following these instructions... and got the following error. Notice the Time zone of my laptop was changed from Central America (-6) to Pacific (-8)You have to use  the instructions for Win 7 as described :Example:,You have to use  the instructions for Win 7 as described :Example:,1
"How to communicate to one particular ESP8266 in a network of multiple ESP8266, where every module is running a server instance listening on port 80","I am quite new to IoT, but I am building a system where I have multiple IoT devices in a home connected to internet using ESP8266 module. But I do not have a particular gateway in any home. I am relying on WiFi router. To convey any message to the device, from internet, I need to identify the particular device. 
I am using DDNS for the home router's IP. But how can I send requests coming from the server to all the devices connected. I have this code in my ESP8266 modules.  Both of these ESP modules are having a dynamic IP. Any lead would be highly appreciated.a mixture from the example of MDNS :So you gonna have http service description for node1.  Run second node's web server on a different port and define it. The solution is to assign  IP addresses to your ESP8266 modules and to use different ports to access them from internet. Here is the code to assign a static address to ESP8266:Now that you know local IP addresses of your ESP8266 devices you can choose ports to be forwarded to your ESPs. For example you can choose ports 8266, 8267, 8268, 8269, ... or any other above 1024 and then set the  in your  so port 8266 will be forwarded to the IP address of your first ESP and port 80, port 8267 will be forwarded to the IP address of your second ESP and port 80 etc.Afterwards you can access your ESPs from internet using URLs looking like , , , , ...Since you are already using dynamic DNS service to access your ESP8266 when there are no other ESPs in your local network, that means you can just add , , , , ... to the URL you are already using. In other words, if the URL consisting of  +  is  then you will now use ,  etc.","a mixture from the example of MDNS :So you gonna have http service description for node1.  Run second node's web server on a different port and define it. The solution is to assign  IP addresses to your ESP8266 modules and to use different ports to access them from internet. Here is the code to assign a static address to ESP8266:Now that you know local IP addresses of your ESP8266 devices you can choose ports to be forwarded to your ESPs. For example you can choose ports 8266, 8267, 8268, 8269, ... or any other above 1024 and then set the  in your  so port 8266 will be forwarded to the IP address of your first ESP and port 80, port 8267 will be forwarded to the IP address of your second ESP and port 80 etc.Afterwards you can access your ESPs from internet using URLs looking like , , , , ...Since you are already using dynamic DNS service to access your ESP8266 when there are no other ESPs in your local network, that means you can just add , , , , ... to the URL you are already using. In other words, if the URL consisting of  +  is  then you will now use ,  etc.",1
How to run broker 'HiveMQ' localy and connect android application to it,"I followed a tutorial to send message to the hiveMQ(which run through executing run.bat file that I downloaded from their website) from paho graphical user interface downloaded from  , it worked fine and showed logs that client connected and sent message that worked fine, now I have made android client application that can publish messages to the public broker, that also worked fine I successfully published message to their public broker(tcp://broker.hivemq.com:1883) I want to have hiveMQ as broker on my computer so that I can send messages from my application to locally running broker and see the message what I sent from application, how can I do that?ThanksAssuming you run the default HiveMQ configuration, you can reach the broker via your computer's IP address on port 1883. So if you run the application on the same computer as the HiveMQ: 
Broker Address: Otherwise:
 use  (Mac/Linux) or (Windows) command in terminal to determine your external or internal IP-address Broker Address: .","Assuming you run the default HiveMQ configuration, you can reach the broker via your computer's IP address on port 1883. So if you run the application on the same computer as the HiveMQ: 
Broker Address: Otherwise:
 use  (Mac/Linux) or (Windows) command in terminal to determine your external or internal IP-address Broker Address: .",1
Database which doesn't need a Private Key to Push Data,"I have a project I am working on which will be open source. The project records data from all over. People can look at the instructions on a website, build the prototype, and the prototype will contribute its data to a giant database. is perfect for this, except for a major problem. In order to push data, you need to put the Private Key in the code (). This will also allow anybody with the code (which will be everybody looking at my project because it is open source) to edit, modify, and delete data from the database because they have the Private Key.Is there any alternative to  for free so that I can achieve this? I am using NodeJS as the main language for my project. I also do not have a server to host my own database on. I also would need a hosting service (which is why data.sparkfun is so close to what I need).I think something like this project  could work.  It is built with Node.  Its not necessarily perfect because its a bit more oriented towards files than a database, but you may be able to adapt it to your application.  It uses cryptography and versioning for security.I found something called  which is hosted by Google. It has a full suite of databases, filesystems, and a way to identify users. You need an API Key for posting and retrieving data, but it is not meant to be private. It also allows you to set rules to disallow editing and deleting data, unless you own the database.It supports iOS apps, Android Apps, and Web Apps (easy to integrate with NodeJS). The free version has some limitations, but enough for most hobbyists. ","I think something like this project  could work.  It is built with Node.  Its not necessarily perfect because its a bit more oriented towards files than a database, but you may be able to adapt it to your application.  It uses cryptography and versioning for security.I found something called  which is hosted by Google. It has a full suite of databases, filesystems, and a way to identify users. You need an API Key for posting and retrieving data, but it is not meant to be private. It also allows you to set rules to disallow editing and deleting data, unless you own the database.It supports iOS apps, Android Apps, and Web Apps (easy to integrate with NodeJS). The free version has some limitations, but enough for most hobbyists. ",1
"How to get Unicast, Dns and Gateway Address in UWP?","I'm trying to find Unicast, Dns and Gateway Address in windows IOT. 
Normally I can access these values with   method.But in UWP, that method is missing.Is there any alternative for getting these values?You could try to  methods from . There are several methods that may contain the  info you're looking for, like , , , etc. Please see a complete list of available methods here: . Eventually more than one method might be necessary.As an example on how to do it, here's some sample code from  retrieving interface names in my local computer, implemented as a standard UWP app:Try this code Snippet I found here:
As jstreet commented, Invoke is the solution. I tried with a Lumia 950, and  works, not as .With the following link you should do it: 
","You could try to  methods from . There are several methods that may contain the  info you're looking for, like , , , etc. Please see a complete list of available methods here: . Eventually more than one method might be necessary.As an example on how to do it, here's some sample code from  retrieving interface names in my local computer, implemented as a standard UWP app:Try this code Snippet I found here:
As jstreet commented, Invoke is the solution. I tried with a Lumia 950, and  works, not as .With the following link you should do it: 
",1
Simultaneous BLE connection,"How to determine maximum number simultaneous BLE connection possible with a  Bluetooth Chipset like CSR8510.Where CSR8510 act as a BLE Master and end device act as a BLE slave.What should all parameter we consider to determine?There is no HCI protocol message to get this number. You need to create connections with LE Create Connection Command to slaves until you get the HCI error 0x09 (Connection Limit Exceeded).The CSR8510 can have 5 connections in master mode to slave devices. It can have 1 connection in slave mode to a master device. While it has a connection in slave mode, it cannot have any other connection in master mode. When having a connection in master mode, it cannot start connectable advertising. When having a connection in slave mode, it cannot start initiating a connection as master.In general, there is a difference between Bluetooth versions. In Bluetooth 4.0 there were these limitations:In Bluetooth 4.1 these limitations were removed. However, controllers are not required to support all combinations of multiple states. What state combinations are supported for a particular controller can be found at .","There is no HCI protocol message to get this number. You need to create connections with LE Create Connection Command to slaves until you get the HCI error 0x09 (Connection Limit Exceeded).The CSR8510 can have 5 connections in master mode to slave devices. It can have 1 connection in slave mode to a master device. While it has a connection in slave mode, it cannot have any other connection in master mode. When having a connection in master mode, it cannot start connectable advertising. When having a connection in slave mode, it cannot start initiating a connection as master.In general, there is a difference between Bluetooth versions. In Bluetooth 4.0 there were these limitations:• The Link Layer in the Connection State shall not operate in the
  Master Role and Slave Role at the same time.• The Link Layer in the
  Connection State operating in the Slave Role shall have only one
  connection.• If the Link Layer is already operating in the Connection State or Initiating
  State, the Link Layer shall not operate in the Advertising State with a type of
  advertising that could result in the Link Layer entering the Connection State
  in the Slave Role.In Bluetooth 4.1 these limitations were removed. However, controllers are not required to support all combinations of multiple states. What state combinations are supported for a particular controller can be found at .",1
Cannot Retrieve Organization [Organization name],"I'm trying to set visibility permission in my project on Thingworx. But when I select the organization, it says it can't retrieve the organization. Please help.Make sure your organization exist in the Thingworx instance and the user you use to access that organization have enough permission on access that organization.",Make sure your organization exist in the Thingworx instance and the user you use to access that organization have enough permission on access that organization.,1
Sending data from STM32F401 MCU to ESP8266 and getting response from ESP8266 to MCU,"I am working on an STM32f401 Nucleo board and ESP8266 wifi module. I am using Eclipse gcc-arm tool chain and cubeMx to generate code. I can transfer and receive data perfectly with USART/UART DMA.Now I am stuck with ESP8266. I cannot send data from MCU to ESP and I'm not getting  response from ESP to MCU. I already tested the ESP module communication, I can connect TO THE wifi with AT commands through USB and can also receive data in web via socket connection.I configured USART1_TX/USART1_RX with PA9/PA10Thanks in advance.I'm not an expert, but I try to help you.Which baud rate are you using? Is it coherent with the ESP8266 documentation?Check the power supply and the connections.Therefore, remember that the AT commands are case sensitive (they must be written with capital letters only) and they must terminate with carriage return and line feed, so ""/r/n"".That's right at first check baud rate are  matching Then do you use dma  for both tx/rx direction ? 
For dma rx note that the ""completion"" callback will be called only when the full buffer will be filled. 
If you neeed to ""break"" reception on ending  ""\n"" ""\n"" then you might use the interrupt rx method oen hatr at a time and inspect it as it arrives in the callback that keep on asking one more byte until not done. 
Alternatively with dma  keep on polling the dma count and analyzed current rx buffer for some \r \n. abort/Stop dma when done.  ","I'm not an expert, but I try to help you.Which baud rate are you using? Is it coherent with the ESP8266 documentation?Check the power supply and the connections.Therefore, remember that the AT commands are case sensitive (they must be written with capital letters only) and they must terminate with carriage return and line feed, so ""/r/n"".That's right at first check baud rate are  matching Then do you use dma  for both tx/rx direction ? 
For dma rx note that the ""completion"" callback will be called only when the full buffer will be filled. 
If you neeed to ""break"" reception on ending  ""\n"" ""\n"" then you might use the interrupt rx method oen hatr at a time and inspect it as it arrives in the callback that keep on asking one more byte until not done. 
Alternatively with dma  keep on polling the dma count and analyzed current rx buffer for some \r \n. abort/Stop dma when done.  ",1
